licence_num,使用分區,其他基地面積,原建照,地上層數,地上避難面積,地下層數,地下避難面積,工程造價,幢數,建物高度,建築面積,建造類別,戶數,棟數,構造種類,法定空地面積,發照日期,竣工日期,簷高,開工日期,騎樓基地面積
100使字第0059號,特定專用區(一),113.92,097建字第0460號,2,0,0,0,155.0,1,11.55,90.62,新建,1,1,RC造,23.08,2011-02-25,2010-09-01,,2009-09-29,19.08
100使字第0060號,工業區(供輕工業使用),8245.7,097建字第0491號,5,0,3,4079.14,25249.0,1,30,4079.14,新建,5,2,RC造,4122.85,2011-02-25,2010-11-01,,2009-04-01,0
100使字第0061號,住3,267,097建字第0395號,7,0,1,155.21,1024.0,1,28.3,117.96,新建,6,1,RC造,147.45,2011-03-02,2010-11-22,,2009-04-17,0
100使字第0062號,農業區,4486,098建字第0140號,2,0,0,0,322.0,2,6,464.56,新建,1,2,輕鋼架造,3140.2,2011-03-03,2010-09-13,,2009-08-12,0
100使字第0063號,住3,670,097建字第0346號,7,0,1,394.2,2148.0,1,23.1,301.26,新建,13,1,RC造,368.74,2011-03-03,2010-05-31,,2008-12-31,0
100使字第0064號,住2,492,097建字第0470號,5,0,1,386.89,878.0,1,17.45,164.48,新建,4,1,RC造,319.8,2011-03-04,2011-01-05,17.3,2009-07-13,0
100使字第0065號,住3,3591,096建字第0247號,16,0,4,1986.9,35075.0,1,58.4,1615.53,新建,44,2,鋼骨造,1975.08,2011-03-04,2010-12-02,,2008-01-31,0
100使字第0066號,商業區(供一般商業使用),1288.44,097建字第0453號,15,0,3,889.58,10297.0,1,49.95,488.76,新建,29,1,RC造,515.38,2011-03-04,2010-12-09,,2009-03-20,0
100使字第0067號,住宅區(供住宅使用),462.23,097建字第0085號,7,0,2,324.01,1383.0,1,26.3,157.21,新建,13,1,RC造,277.34,2011-03-07,2010-12-31,,2008-12-01,0
100使字第0068號,住2,761.94,095建字第0210號,5,,2,17.5,1329.0,1,17.5,260.89,新建,3,1,RC造,495.26,2011-03-08,2010-03-12,,2007-02-05,0
100使字第0069號,住4,217,097建字第0308號,4,0,1,0,400.0,1,13.8,84.26,新建,1,1,RC造,108.5,2011-03-10,2010-12-28,,2008-12-15,0
100使字第0070號,第三種住宅,542,096建字第0155號,4,0,1,362.25,860.0,1,13.9,225.4,新建,1,1,RC造,298.1,2011-03-10,2010-12-06,,2007-08-24,0
100使字第0071號,科技工業區A區(比照工三),6280.84,096建字第0266號,7,0,3,4088.36,33215.0,1,25.15,3424.88,新建,32,1,RC造,2855.96,2011-03-10,2010-10-14,,2007-09-17,0
100使字第0072號,商三特(原住三),95,099建字第0165號,4,0,0,0,22.0,1,13,59.76,增建,1,1,RC造,35.24,2011-03-10,2011-01-19,,2010-05-21,0
100使字第0073號,"交通用地、商業區(原屬住三,住三之一指定為商三使用 )",582.19,096建字第0467號,13,0,2,516.63,7072.0,1,49.95,444.82,新建,61,1,RC造,217.22,2011-03-15,2010-12-28,,2008-05-28,82.81
